#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/,1M pop,,Population,Continent,1 Caseevery X ppl1 Deathevery X ppl1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
134,Ivory Coast,"83,679",,805 ,,"82,396",,478,,"3,022",29,"1,554,103","56,134","27,685,641 ",Africa,"33134,39218",,,17
135,Channel Islands,"80,990",,179 ,,"78,583",,"2,228",,"457,387","1,011","1,252,808","7,075,173","177,071 ",Europe,29890,,,"12,583"
136,Suriname,"80,864",,"1,369 ",,"49,575",,"29,920",,"135,416","2,293","238,016","398,585","597,153 ",South America,74363,,,"50,104"
137,French Polynesia,"73,386",,649 ,,N/A,N/A,N/A,7,"258,258","2,284",,,"284,158 ",Australia/Oceania,4438,,,"138,082"
138,Eswatini,"73,148",,"1,416 ",,"71,653",,79,11,"61,770","1,196","1,036,852","875,565","1,184,209 ",Africa,168361,,,67
139,Guyana,"67,657",,"1,256 ",,"65,530",,871,,"85,194","1,582","662,065","833,680","794,148 ",South America,126321,,,"1,097"
140,Fiji,"65,889",,866 ,,"63,849",,"1,174",,"72,450",952,"572,354","629,343","909,447 ",Australia/Oceania,"141,0502",,,"1,291"
141,Madagascar,"65,787",,"1,401 ",,"63,540",,846,6,"2,259",48,"471,434","16,192","29,115,811 ",Africa,"44320,78262",,,29
142,New Caledonia,"65,271","+1,050",313 ,,"63,505",+663,"1,453",9,"224,305","1,076","98,964","340,092","290,992 ",Australia/Oceania,49303,"3,608",,"4,993"
143,Belize,"64,371",,680  ,,"62,876",,815,6,"156,211","1,650","576,016","1,397,839","412,076 ",North America,66061,,,"1,978"
144,Sudan,"62,696",,"4,952 ",,N/A,N/A,N/A,,"1,366",108,"562,941","12,265","45,898,419 ",Africa,"7329,26982",,,379
145,Cabo Verde,"61,105",,405 ,,"59,722",,978,23,"107,565",713,"401,416","706,625","568,075 ",Africa,"91,4031",,,"1,722"
146,Mauritania,"60,368",,984 ,,"58,341",,"1,043",,"12,334",201,"872,738","178,318","4,894,269 ",Africa,"814,9746",,,213
147,Bhutan,"59,824",,21 ,,"59,730",,73,,"75,860",27,"2,303,734","2,921,240","788,615 ",Asia,"1337,5530",,,93
148,Syria,"55,934",,"3,150 ",,"52,762",,22,,"3,048",172,"146,269","7,970","18,351,554 ",Asia,"3285,826125",,,1
149,Gabon,"47,939",,305 ,,"47,353",,281,,"20,567",131,"1,602,857","687,671","2,330,849 ",Africa,"497,6421",,,121
150,Seychelles,"44,847",,167 ,,"44,512",,168,,"450,425","1,677",,,"99,566 ",Africa,2596,,,"1,687"
151,Papua New Guinea,"44,728",,662 ,,"43,982",,84,7,"4,817",71,"249,149","26,830","9,286,257 ",Australia/Oceania,"20814,02837",,,9
152,Curaçao,"44,545",,278 ,,"44,122",,145,3,"269,258","1,680","496,693","3,002,327","165,436 ",North America,45950,,,876
153,Andorra,"44,177",,153 ,,"43,448",,576,14,"569,938","1,974","249,838","3,223,217","77,512 ",Europe,25070,,,"7,431"
154,Burundi,"42,731",,38 ,,N/A,N/A,N/A,,"3,391",3,"345,742","27,441","12,599,561 ",Africa,"295331,56736",,,"3,327"
155,Aruba,"41,000",,222 ,,"40,451",,327,1,"380,783","2,062","177,885","1,652,085","107,673 ",North America,34851,,,"3,037"
156,Mauritius,"38,650",,"1,004 ",,"36,805",,841,,"30,290",787,"358,675","281,095","1,275,992 ",Africa,"331,2714",,,659
157,Mayotte,"37,958",,187 ,,"2,964",,"34,807",,"132,725",654,"176,919","618,620","285,990 ",Africa,"81,5292",,,"121,707"
158,Togo,"37,482",,275 ,,"37,058",,149,,"4,325",32,"754,915","87,101","8,667,075 ",Africa,"23131,51711",,,17
159,Guinea,"36,597",,442 ,,"36,113",,42,8,"2,643",32,"660,107","47,676","13,845,749 ",Africa,"37831,32521",,,3
160,Isle of Man,"36,463",,108 ,,"26,794",,"9,561",,"424,314","1,257","150,753","1,754,288","85,934 ",Europe,27961,,,"111,260"
161,Bahamas,"36,101",,820 ,,"34,501",,780,,"90,080","2,046","241,422","602,403","400,765 ",North America,114892,,,"1,946"
162,Tanzania,"35,768",,841 ,,N/A,N/A,N/A,7,566,13,,,"63,139,488 ",Africa,"1,76575,077",,,550
163,Faeroe Islands,"34,658",,28 ,,N/A,N/A,N/A,5,"703,944",569,"778,000","15,802,088","49,234 ",Europe,"11,7580",,,"547,122"
164,Lesotho,"33,938",,699 ,,"24,155",,"9,084",,"15,595",321,"431,221","198,149","2,176,241 ",Africa,"643,1135",,,"4,174"
165,Haiti,"31,677",,837 ,,"29,868",,972,,"2,712",72,"132,422","11,337","11,680,767 ",North America,"36913,95688",,,83
166,Mali,"31,176",,737 ,,"30,338",,101,,"1,456",34,"702,848","32,815","21,418,222 ",Africa,"68729,06130",,,5
167,Cayman Islands,"27,594",,29 ,,"8,553",,"19,012",1,"410,216",431,"222,773","3,311,772","67,267 ",North America,"22,3200",,,"282,635"
168,Benin,"27,216",,163 ,,"25,506",,"1,547",5,"2,133",13,"604,310","47,364","12,758,738 ",Africa,"46978,27421",,,121
169,Saint Lucia,"27,094",,383 ,,"26,559",,152,,"146,211","2,067","209,484","1,130,470","185,307 ",North America,74841,,,820
170,Somalia,"26,803",,"1,350 ",,"13,182",,"12,271",,"1,597",80,"400,466","23,865","16,780,667 ",Africa,"62612,43042",,,731
